code,en,shn
aa,Afar,ဢႃးၾႃႇ
ab,Abkhazian,ဢပ်ႇၶႃးၸီႇယႅၼ်ႇ
ace,Achinese,ဢႃးၶျိၼ်းၼိတ်ႉ
ach,Acoli,ဢၶေႃးလီႇ
ada,Adangme,ဢတႅင်းမီႇ
ady,Adyghe,ဢတီၵေး
ae,Avestan,ဢဝႅတ်ႉသတၼ်ႇ
aeb,Tunisian Arabic,တူႇၼီးသီႇယႅၼ်ႇ ဢရပိၵ်ႉ
af,Afrikaans,ဢၾရိၵၢၼ်း
afh,Afrihili,ဢၾရိႁိရီႇ
agq,Aghem,ဢၵ်ႉႁဵမ်
ain,Ainu,ဢၢႆးၼူ
ak,Akan,ဢႃးၵၼ်ႇ
akk,Akkadian,ဢၶႃးတီႇယႅၼ်ႇ
akz,Alabama,ဢလပႃးမႃး
ale,Aleut,ဢႃးလီယုတ်ႉ
aln,Gheg Albanian,ၵႅၵ်ႉ ဢႄႇလ်ပေးၼီးယႅၼ်ႇ
alt,Southern Altai,ဢႃးတႆး ပွတ်းၸၢၼ်း
am,Amharic,ဢမ်ႇႁႄးရိၵ်ႉ
an,Aragonese,ဢရၵၼိတ်ႉ
ang,Old English,ဢိင်းၵလဵတ်ႈ ပၢၼ်ၵဝ်ႇ
anp,Angika,ဢႅၼ်ၵျိၵႃႇ
ar,Arabic,ဢႃးရပိၵ်ႉ
ar_001,Arabic (Modern Standard),ဢႃးရပိၵ်ႉ လၵ်းၸဵင် ပၢၼ်မႂ်ႇ
arc,Aramaic,ဢႃးရမ်းမိၵ်ႉ
arn,Mapuche,မပူးၶျီႇ
aro,Araona,ဢႃႇရၢဝ်းၼႃႇ
arp,Arapaho,ဢရပႁူဝ်
arq,Algerian Arabic,ဢႃးရပိၵ်ႉ ဢႄႇလ်ၵျီးရီးယႅၼ်ႇ
ars,Najdi Arabic,ဢႃးရပိၵ်ႉ ၼႃးၸတိ
arw,Arawak,ဢႃးရဝၵ်ႉ
ary,Moroccan Arabic,ဢႃးရပိၵ်ႉ မေႃရွၵ်ႉၶႅၼ်ႇ
arz,Egyptian Arabic,ဢႃးရပိၵ်ႉ ဢီးၵျိပ်ႈသျၼ်ႇ
as,Assamese,ဢႃႇသမ်ႇ
asa,Asu,ဢသူး
ase,American Sign Language,ၽႃႇသႃႇၵႂၢမ်း ႁၢင်ႈမၢႆတွင်း ဢမႄႇရိၵၢၼ်ႇ
ast,Asturian,ဢတိူဝ်ႇရီႇယႅၼ်ႇ
av,Avaric,ဢႃးဝရိၵ်ႉ
avk,Kotava,ၶူဝ်ထႃႉဝႃႇ
awa,Awadhi,ဢႃးဝတီႇ
ay,Aymara,ဢၢႆးမႃးရ
az,Azerbaijani,ဢႃႇၸႃႇပၢႆႇၸၼ်ႇ
az_short,Azerbaijani,ဢၸႃးရီႇ
ba,Bashkir,ပၢတ်ႇသျ်ၵေးသ်
bal,Baluchi,ပလူးၶျီႇ
ban,Balinese,ပေႃးလူးၼိတ်ႉ
bar,Bavarian,ပဝႄးရီယႅၼ်ႇ
bas,Basa,ပႃးသႃႇ
bax,Bamun,ပႃႈမမ်ႇ
bbc,Batak Toba,ပႃးထၢၵ်ႇ ထူဝ်းပႃႇ
bbj,Ghomala',ၵူဝ်မႃးလႃႇ
be,Belarusian,ပႄႇလႃႇရုတ်ႈ
bej,Beja,ပေးၵျႃႇ
bem,Bemba,ပႅမ်းပႃႈ
bew,Betawi,ပႅတ်ႉထဝီႇ
bez,Bena,ပႅၼ်းၼႃႈ
bfd,Bafut,ပႄးၾႅတ်
bfq,Badarawa,ပႃတႃးၵ
bg,Bulgarian,ပူႇၵႃႇရီႇယႅၼ်ႇ
bgn,Western Balochi,ပလူးၶျီႇ ပွတ်းတူၵ်း
bho,Bhojpuri,ပူဝ်ႉၵျ်ပူႇရီႇ
bi,Bislama,ပီသလမ်းမႃး
bik,Bikol,ပိၵ်ႇၶူဝ်းလ်
bin,Bini,ပီၼီး
bjn,Banjarese,ပၼ်ၵျႃႇ
bkm,Kom,ၵွမ်
bla,Siksika,သိၵ်ႉသိၵ်ႇၵႃႇ
bm,Bambara,ပႅမ်ပႃရႃႇ
bn,Bengali,ပင်းၵလႃႇ
bo,Tibetan,ထိပႅတ်ႉတၼ်ႇ
bpy,Bishnupriya Manipuri,ပီႇသျၼုပ်းပရီႇယႃႇ
bqi,Bakhtiari,ပၵ်းထီႇဢႃးရီႇ
br,Breton,ပရႅတ်ႉတၼ်ႇ
bra,Braj,ပရႅတ်ႉ
brh,Brahui,ပရႃႁုၺ်း
brx,Bodo,ပူဝ်တူဝ်ႇ
bs,Bosnian,ပွတ်ႉသၼီးယႅၼ်ႇ
bss,Akoose,ဢၵ်ႉၶူးသ်
bua,Buriat,ပိူဝ်းယႅတ်ႇ
bug,Buginese,ပူႇၵီးၼီးၸ်
bum,Bulu,ပူးလူး
byn,Blin,ပလိၼ်ႇ
byv,Medumba,မတုမ်ပႃႇ
ca,Catalan,ၶႅတ်ႇတလၼ်ႇ
cad,Caddo,ၶႅတ်ႇတူဝ်း
car,Carib,ၶႃးရိပ်ႉ
cay,Cayuga,ၶႃႇယူးၵႃႇ
cch,Atsam,ဢႅတ်ႉသမ်ႇ
ccp,Chakma,ၶျၵ်ႉမႃး
ce,Chechen,ၶျႅတ်ႉၶျႅၼ်ႇ
ceb,Cebuano,သိုပ်ႇပႂႃးၼူဝ်ႇ
cgg,Chiga,ၶျီၵႃႇ
ch,Chamorro,သျမူဝ်ႇရူဝ်ႇ
chb,Chibcha,ၶျိပ်ႉၶျႃႇ
chg,Chagatai,ၶျၵတႆး
chk,Chuukese,ၶျႅၵ်ႉၵိတ်ႇသ်
chm,Mari,မႃႇရီႇ
chn,Chinook Jargon,သျီးၼူၵ်ႇ ၵျႃႇၵုၼ်း
cho,Choctaw,ၶျွၵ်ႉတေႃႇ
chp,Chipewyan,ၶျီႇၽႄဝၢႆးယၼ်ႇ
chr,Cherokee,ၶျေရၵီႇ
chy,Cheyenne,သျၢႆးဢၢၼ်ႇ
cic,Chickasaw,ၶျိၵ်ႉၵသေႃး
ckb,Central Kurdish,ၶိူဝ်းတိတ်ႉသျ် ပွတ်းၵၢင်
ckb,Central Kurdish,ၶိူဝ်းတိတ်ႉသျ်၊ ပွတ်းၵၢင်
ckb,Central Kurdish,ၶိူဝ်းတိတ်ႉသျ်၊ သူဝ်ႇရၼ်းၼီႇ
co,Corsican,ၵေႃသီၵၼ်ႇ
cop,Coptic,ၶွပ်းထိၵ်ႇ
cps,Capiznon,ၶႅပ်ႇပီးၸ်ၼုမ်ႇ
cr,Cree,ၶရီး
crh,Crimean Tatar,ၶရၢမ်ႇမီးယၼ်ႇ တိူဝ်းၵိတ်ႉသျ်
crs,Seychellois Creole,ၾရၢင်ႇသဵတ်ႈ သီးသီးလဝႃႇ ၶရီးဢူဝ်ႇ
cs,Czech,ၶျႅၵ်ႉ
csb,Kashubian,ၶသျူးပီးယၼ်ႇ
cu,Old Church Slavonic,ၶျၢတ်ႉသလႃးဝိၵ်ႉ
cv,Chuvash,ၶျူးဝၢတ်ႇ
cy,Welsh,ဝႄးလ်သျ်
da,Danish,တေးၼိတ်ႉသျ်
dak,Dakota,တၵူဝ်းတႃႇ
dar,Dargwa,တႃၵႂႃႇ
dav,Taita,တၢႆးတႃႇ
de,German,ၵျႃႇမၼ်ႇ
de_AT,German (Austria),ၵျႃႇမၼ်ႇ ဢေႃႉသထရေးလီးယႅၼ်း
de_CH,Swiss High German,ၵျႃႇမၼ်ႇ သဝိတ်ႉ ႁၢႆႉ
del,Delaware,တႄႇလဝႄး
den,Slavey,သလဵပ်ႉ
dgr,Dogrib,တွၵ်ႉၵရိပ်ႉ
din,Dinka,တိၼ်းၵႃႈ
dje,Zarma,ၸႃမႃႇ
doi,Dogri,တွၵ်ႉၵရီႇ
dsb,Lower Sorbian,လူဝ်းဝႃးသေႃႇပီႇယႅၼ်ႇ
dtp,Central Dusun,ပွတ်းၵၢင် တူးသၼ်ႇ
dua,Duala,တူးဝႃးလႃႇ
dum,Middle Dutch,တၢတ်ႉၶျ် ပွတ်းၵၢင်
dv,Dhivehi,တီႇဝႄးႁီႇ
dyo,Jola-Fonyi,ၵျူဝ်လႃ-ၾူင်းၼီႇ
dyu,Dyula,တဵဝ်းလႃႇ
dz,Dzongkha,ၸွင်းၵႃႇ
dzg,Dazaga,တီႇၸႃၵႃႇ
ebu,Embu,ဢႅမ်းပူး
ee,Ewe,ယူး
efi,Efik,ဢႅပ်ႉၾႅၵ်ႇ
egl,Emilian,ဢႅမ်ႇမီလီယႅၼ်ႇ
egy,Egyptian,ဢီႇၵျိပ်ႉသျိၼ်ႇ မိူဝ်ႈၵွၼ်ႇ
eka,Ekajuk,ဢႅၵ်ႉၵၵျႅၵ်ႉ
el,Greek,ၵရိတ်ႈ
elx,Elamite,ဢီးလမၢႆႉ
en,English,ဢိင်းၵလဵတ်ႈ
en_AU,Australian English,ဢိင်းၵလဵတ်ႈ ဢေႃႉသထရေးလီးယႅၼ်း
en_CA,Canadian English,ဢိင်းၵလဵတ်ႈ ၶႅၼ်ႇၼေးတီးယႅၼ်း
en_GB,British English,ဢိင်းၵလဵတ်ႈ ပရိတ်ႉတိတ်ႉ
en_GB,Short British English,ဢိင်းၵလဵတ်ႈ ယူႇၶေႇ
en_US,American English,ဢိင်းၵလဵတ်ႈ ဢမေႇရိၵၢၼ်ႇ
en_US,Short American English,ဢိင်းၵလဵတ်ႈ ယူႇဢႅတ်ႉသ်
enm,Middle English,ဢိင်းၵလဵတ်ႈ ပွတ်းၵၢင်
eo,Esperanto,ဢႅတ်ႉသ်ပရႅၼ်တူဝ်ႇ
es,Spanish,သပႅၼ်းၼိတ်ႉသျ်
es_419,Latin American Spanish,သပႅၼ်းၼိတ်ႉသျ် လႅတ်ႉတိၼ်ႇ ဢမေႇရိၵၢၼ်ႇ
es_ES,European Spanish,သပႅၼ်းၼိတ်ႉသျ် ယူႇရူဝ်ႇပီႇယႅၼ်ႇ
es_MX,Mexican Spanish,သပႅၼ်းၼိတ်ႉသျ် မႅၵ်ႇသီႇၶႅၼ်ႇ
esu,Central Yupik,ယူးၽိၵ်ႇ ပွတ်းၵၢင်
et,Estonian,ဢႅတ်ႉသ်တူဝ်ႇၼီႇယႅၼ်ႇ
eu,Basque,ပႃႉသ်
ewo,Ewondo,ဢဝၢၼ်တူဝ်ႇ
ext,Extremaduran,ဢဵတ်ႇသ်ထရႃႇမတူးရၼ်ႇ
fa,Persian,ၽႃသျႅၼ်ႇ
fa_AF,Dari,တႃႇရီႇ
fan,Fang,ၾင်
fat,Fanti,ၾၼ်ထီႇ
ff,Fulah,ၾူလႃႇ
fi,Finnish,ၾိၼ်းၼိတ်ႉသျ်
fil,Filipino,ၾီလိပ်ႉပီးၼူဝ်ႇ
fit,Meänkieli,ထူဝ်ႇၼီႇတႄႇလ်လႅၼ်ႇ ၾိၼ်းၼိတ်ႉသျ်
fj,Fijian,ၾီႇၵျီႇယႅၼ်ႇ
fo,Faroese,ၾႄးရူဝ်းဢီးသ်
fon,Fon,ၾူၼ်
fr,French,ၾရၢင်ႇသဵတ်ႈ
fr_CA,Canadian French,ၾရၢင်ႇသဵတ်ႈ ၶႅၼ်ႇၼေးတီးယႅၼ်း
fr_CH,Swiss French,ၾရၢင်ႇသဵတ်ႈ သဝိတ်ႉ
frc,Cajun French,ၾရၢင်ႇသဵတ်ႈ ၶေးၵျုၼ်ႇ
frm,Middle French,ၾရၢင်ႇသဵတ်ႈ ပွတ်းၵၢင်
fro,Old French,ၾရၢင်ႇသဵတ်ႈ မိူဝ်ႈၵွၼ်ႇ
frp,Arpitan,ဢၢပ်းပီတၼ်ႇ
frr,Northern Frisian,ၾရီႇသီႇယႅၼ်ႇ ပွတ်းႁွင်ႇ
frs,Eastern Frisian,ၾရီႇသီႇယႅၼ်ႇ ပွတ်းဝၼ်းဢွၵ်ႇ
fur,Friulian,ၾရီႇယူးလီယႅၼ် Friulian
fy,Western Frisian,ၾရီႇသီႇယႅၼ်ႇ ပွတ်းဝၼ်းတူၵ်း
ga,Irish,ဢၢႆးရိတ်ႉသျ်
gaa,Ga,ၵႃႉ
gag,Gagauz,ၵႃႉၵႄးလ်
gan,Gan Chinese,ၶႄႇ ၵၼ်း
gay,Gayo,ၵႃႉသျူဝ်ႇ
gba,Gbaya,ပႃးယႃႇ
gbz,Zoroastrian Dari,တႃႇရီႇ ၸူဝ်ႇရူဝ်ဝႅတ်ႉသ်ထရီႇယႅၼ်ႇ
gd,Scottish Gaelic,ၵေးလိၵ်ႉ သၵွတ်ႉတိသျ်
gez,Geez,ၵျီႉသ်
gil,Gilbertese,ၵဵဝ်းပတိတ်ႉသ်
gl,Galician,ၵလီးသီယႅၼ်ႇ
glk,Gilaki,ၵီလၵ်ႉၶီႇ
gmh,Middle High German,ၵျႃႇမၼ်ႇ ပွတ်းၵၢၼ် တီႈသုင်
gn,Guarani,ၵႂႃႇရႃၼီး
goh,Old High German,ၵျႃႇမၼ်ႇႇ တီႈသုင် မိူဝ်ႈၵွၼ်ႇ
gom,Goan Konkani,ၵူဝ်ႇဢၼ်ႇ ၵွၼ်ႇၵၼီး
gon,Gondi,ၵွၼ်းတီႇ
gor,Gorontalo,ၵေႃႇရူၼ်ႇတႄလ်လူဝ်ႇ
got,Gothic,ၵွတ်ႉတိၵ်ႇ
grb,Grebo,ၵရီပူဝ်ႇ
grc,Ancient Greek,ၵရိတ်ႈ မိူဝ်ႈၵွၼ်ႇ
gsw,Swiss German,ၵျႃႇမၼ်ႇႇ သဝိတ်ႉ
gu,Gujarati,ၵူးၵျရႃႇတီႇ
guc,Wayuu,ဝႃႉယူး
gur,Farefare,ၾရႃၾရႃ
guz,Gusii,ၵတ်ႉသီး
gv,Manx,မႅၼ်ႉ
gwi,Gwich'in,ၵူႇဝိတ်ႉၶျိၼ်ႇ
ha,Hausa,ႁၢဝ်းသႃႇ
hai,Haida,ႁၢႆးတႃႉ
hak,Hakka Chinese,ၶႄႇ ႁၵ်ႉၶႃႇ
haw,Hawaiian,ႁဝၢႆႇယၼ်ႇ
he,Hebrew,ႁီးပရူး
hi,Hindi,ႁိၼ်ႇတီႇ
hif,Fiji Hindi,ႁိၼ်ႇတီႇ ၾီႇၵျီႇ
hil,Hiligaynon,ႁီလီၵေးၼုၼ်ႇ
hit,Hittite,ႁိတ်းထၢႆႉ
hmn,Hmong,မၢင်ႉ
ho,Hiri Motu,ႁိရိ မူဝ်ထူး
hr,Croatian,ၶရူဝ်ႇဢီးသျိၼ်ႇ
hsb,Upper Sorbian,သေႃးပီးယႅၼ်ႇ ပွတ်းၼိူဝ်
hsn,Xiang Chinese,ၶႄႇသျၢင်း
ht,Haitian Creole,ႁေးသျုၼ်း ၶရီးဢူဝ်ႇ
hu,Hungarian,ႁင်ၵေးလီးယႅၼ်ႇ
hup,Hupa,ႁူးပႃႇ
hy,Armenian,ဢႃမီးၼီးယႅၼ်ႇ
hz,Herero,ႁႄရႄရူဝ်ႇ
ia,Interlingua,ဢိၼ်ထႃလိၼ်းၵႂႃႇ
iba,Iban,ဢၢႆးပၼ်ႇ
ibb,Ibibio,ဢီႇပိပ်ႉပီးယူဝ်း
id,Indonesian,ဢိၼ်ႇတူဝ်ႇၼီးသျၼ်ႇ
ie,Interlingue,ဢိၼ်ႇထႃႇလိၼ်းၵူၺ်ႇ
ig,Igbo,ဢိၵ်ႉပူဝ်း
ii,Sichuan Yi,သိသျွၼ်ယီႈ
ik,Inupiaq,ဢိၼ်ၼူးၽီယၵ်ႇ
ilo,Iloko,ဢီလူဝ်ၵူဝ်ႇ
inh,Ingush,ဢိင်းၵၢတ်ႇသျ်
io,Ido,ဢီးတူဝ်ႇ
is,Icelandic,ဢၢႆးသလႅၼ်းတိၵ်ႉ
it,Italian,ဢထႃးလီယႅၼ်ႇ
iu,Inuktitut,ဢီၼွၵ်းတီတုတ်ႈ
izh,Ingrian,ဢိၼ်ႇၵရီႇယၼ်ႇ
ja,Japanese,ၵျႃႇပၢၼ်ႇ
jam,Jamaican Creole English,ဢိင်းၵလဵတ်ႈ ၵျမေၵၼ်ႇ ၶရီးဢူဝ်ႇ
jbo,Lojban,လူဝ်ၸပႅၼ်ႇ
jgo,Ngomba,ဢၢမ်းၵူမ်ႈပႃႇ
jmc,Machame,မၶျၢမ်း
jpr,Judeo-Persian,ၵျူႇတႄးဢူဝ်း-ၽႃးသျၼ်ႇ
jrb,Judeo-Arabic,ၵျူႇတႄးဢူဝ်း-ဢႃႇရပိၵ်ႉ
jut,Jutish,ၵျူးတိတ်ႉသျ်
jv,Javanese,ၵျႃးဝၼိတ်ႉ
ka,Georgian,ၵျေႃၵျၼ်ႇ
kaa,Kara-Kalpak,ၶရႃးၶႄႇလ်ၽၵ်ႉ
kab,Kabyle,ၶပၢႆယႂ်ႇ
kac,Kachin,ၶၢင်
kaj,Jju,ၵျူး
kam,Kamba,ၶမ်းပႃႇ
kaw,Kawi,ၵဝီႇ
kbd,Kabardian,ၶပ်ႉပႃတီႇယႅၼ်ႇ
kbl,Kanembu,ၶၼႅမ်ပူႇ
kcg,Tyap,တႃယႅပ်ႉ
kde,Makonde,မၢၵ်ႈၶွၼ်းတေႇ
kea,Kabuverdianu,ၶပ်ႉပူဝႃႇတီႇယႃႇၼူဝ်ႇ
ken,Kenyang,ၶႅၼ်ယင်ႇ
kfo,Koro,ၶူဝ်လူဝ်ႇ
kg,Kongo,ၶွၼ်းၵူဝ်ႇ
kgp,Kaingang,ၶဵင်းၵင်ႇ
kha,Khasi,ၶႃးသီႇ
kho,Khotanese,ၶူတ်ႇၼိတ်ႉသ်
khq,Koyra Chiini,ၶူဝ်းရၶျိၼ်းၼၢႆး
khw,Khowar,ၵူဝ်းဝႃႇ
ki,Kikuyu,ၶူႇၶူးယူႇ
kiu,Kirmanjki,ၶႃးမၼ်ႇၸၶီႇ
kj,Kwanyama,ၵႂႃႇၼီႇယႃမႃႇ
kk,Kazakh,ၵႃးၸႅၵ်ႇ
kkj,Kako,ၵႃးၵူဝ်ႇ
kl,Kalaallisut,ၵလႃႈလီးသုတ်ႇ
kln,Kalenjin,ၵႄလႅၼ်ႈၵျိၼ်ႇ
km,Khmer,ၶမႄႇရ်
kmb,Kimbundu,ၶိမ်ပုၼ်းတူႇ
kn,Kannada,ၶၼႃးတႃႇ
ko,Korean,ၵၢဝ်းလီ
koi,Komi-Permyak,ၶူဝ်းမီႇၽၢမ်ယၵ်ႉ
kok,Konkani,ၶွၼ်းၶႃၼီး
kos,Kosraean,ၶွတ်ႇသရႃးယႅၼ်ႇ
kpe,Kpelle,ၽႄႈလႄႈ
kr,Kanuri,ၶၼူးရီႇ
krc,Karachay-Balkar,ၶရၶျၢႆး-ပႂ်လၵႃႈ
kri,Krio,ၶရီးဢူဝ်ႇ
krj,Kinaray-a,ၶိၼ်ႇၼရေး-ဢႃႇ
krl,Karelian,ၶရီးလီးယႅၼ်ႇ
kru,Kurukh,ၵူရၢၵ်ႉ
ks,Kashmiri,ၶသျမီးရီႇ
ksb,Shambala,သျမ်ပလႃႇ
ksf,Bafia,ပဵပ်ႉၾီးယႃး
ksh,Colognian,ၵူဝ်ႇလူဝ်ၼီယႅၼ်ႇ
ku,Kurdish,ၶိူဝ်းတိတ်ႉသျ်
kum,Kumyk,ၶူးမဵၵ်ႇ
kut,Kutenai,ၶူးထႅၼ်ႇၼေး
kv,Komi,ၶူဝ်းမီႇ
kw,Cornish,ၶူဝ်းၼိတ်ႉသျ်
ky,Kyrgyz,ၶေးလ်ၵဵတ်ႇ
ky,Kyrgyz,ၶေးၵိတ်ႉၸ်
la,Latin,လႅတ်ႉတိၼ်ႇ
lad,Ladino,လတီၼူဝ်ႇ
lag,Langi,လႅင်းၵျီႇ
lah,Lahnda,လၢၼ်းတႃႇ
lam,Lamba,လမ်းပႃႇ
lb,Luxembourgish,လၢၵ်ႈၸိမ်ႇပၢၵ်ႈၵဵတ်ႉသျ်
lez,Lezghian,လၢတ်ႉၸ်ၵီႇယႅၼ်ႇ
lfn,Lingua Franca Nova,လိၼ်းၵႂႃႇ ၾရႅၼ်ႉ ၼူဝ်းဝႃႇ
lg,Ganda,ၵႅၼ်တႃႇ
li,Limburgish,လိမ်းပႃးၵႅတ်ႉသျ်
lij,Ligurian,လီႇၵူးရီႇယႅၼ်ႇ
liv,Livonian,လီႇဝူဝ်းၼီးယႃး
lkt,Lakota,လၶူဝ်တႃႇ
lmo,Lombard,လွမ်းပၢတ်ႉ
